,qnr,kindergarten_nr,kunstimstadtraum_nr,parke_nr,brunnen_nr,kinderhort_nr,spielplatzte_nr,denkmalschutzobjekt_nr,volksschule_nr,kinderkrippe_nr,sporthalle_nr,qname,knr,kname,areaKm2
0,11,3.644,54.665,7.289,131.195,0.0,7.289,54.665,0.0,0.0,0.0,Rathaus,1,Kreis 1,0.27440000000000003
1,12,2.176,30.461,10.879,100.087,4.352,2.176,30.461,2.176,6.527,0.0,Hochschulen,1,Kreis 1,0.4596
2,13,0.0,52.533,11.257,120.075,0.0,7.505,52.533,0.0,0.0,0.0,Lindenhof,1,Kreis 1,0.2665
3,14,3.644,40.08,7.287,65.586,1.822,1.822,40.08,1.822,14.575,0.0,City,1,Kreis 1,0.5489
4,21,4.573,5.717,1.715,19.436,6.86,2.001,5.717,2.001,4.002,0.0,Wollishofen,2,Kreis 2,3.4986
5,23,7.022,1.915,0.638,17.235,7.66,0.638,1.915,1.915,1.277,1.277,Leimbach,2,Kreis 2,1.5666
6,24,3.478,31.304,5.217,31.304,5.797,4.638,31.304,1.159,4.638,0.0,Enge,2,Kreis 2,1.725
7,31,6.794,0.618,0.618,14.823,8.647,0.618,0.618,1.235,13.588,0.618,Alt-Wiedikon,3,Kreis 3,1.6191
8,33,5.455,1.948,0.0,19.871,10.131,3.117,1.948,2.338,2.338,0.39,Friesenberg,3,Kreis 3,2.5665
9,34,9.677,16.33,3.629,30.846,12.701,7.258,16.33,3.024,6.653,0.605,Sihlfeld,3,Kreis 3,1.6534
10,41,0.0,17.687,0.0,31.836,0.0,0.0,17.687,0.0,10.612,0.0,Werd,4,Kreis 4,0.2827
11,42,5.039,9.239,3.36,24.357,5.039,4.2,9.239,1.68,8.399,0.0,Langstrasse,4,Kreis 4,1.1906
12,44,6.468,2.156,1.437,17.966,12.217,2.875,2.156,2.156,5.749,0.719,Hard,4,Kreis 4,1.3915
13,51,10.27,19.073,2.934,32.277,11.737,4.401,19.073,5.869,7.336,0.0,Gewerbeschule,5,Kreis 5,0.6816
14,61,8.287,14.089,2.486,28.592,8.702,3.315,14.089,2.072,5.801,0.0,Unterstrass,6,Kreis 6,2.4133
15,63,3.742,3.742,1.247,21.827,6.86,4.365,3.742,1.247,7.484,0.0,Oberstrass,6,Kreis 6,1.6035
16,71,2.834,4.724,0.945,23.147,4.251,2.362,4.724,0.945,4.251,0.0,Fluntern,7,Kreis 7,2.1169
17,72,2.66,6.46,1.9,19.381,1.9,2.28,6.46,1.14,3.8,0.0,Hottingen,7,Kreis 7,2.6314
18,73,5.255,3.153,0.0,28.379,2.102,2.102,3.153,2.102,7.358,0.0,Hirslanden,7,Kreis 7,0.9514
19,74,3.183,3.183,0.354,10.963,2.122,0.354,3.183,0.707,2.476,0.0,Witikon,7,Kreis 7,2.8277
20,81,0.0,32.811,8.949,25.354,0.0,2.983,32.811,0.0,7.457,0.0,Seefeld,8,Kreis 8,0.6705
21,82,9.407,12.543,6.272,31.358,17.247,1.568,12.543,6.272,15.679,1.568,MÃ¼hlebach,8,Kreis 8,0.6378
22,83,2.539,2.539,1.905,16.506,3.174,2.539,2.539,1.905,6.348,0.0,Weinegg,8,Kreis 8,1.5752000000000002
23,91,7.737,3.316,1.105,14.0,9.948,1.842,3.316,1.842,7.0,0.368,Albisrieden,9,Kreis 9,2.7142
24,92,5.482,2.653,0.177,13.795,6.544,1.592,2.653,1.769,3.537,0.0,Altstetten,9,Kreis 9,5.654400000000001
25,101,4.546,1.299,1.082,13.854,4.979,2.165,1.299,1.515,3.031,0.0,HÃ¶ngg,10,Kreis 10,4.6196
26,102,8.406,4.526,1.293,27.158,13.579,3.88,4.526,1.94,9.699,0.0,Wipkingen,10,Kreis 10,1.5465
27,111,6.079,0.811,1.419,9.727,6.485,2.026,0.811,1.419,2.229,0.405,Affoltern,11,Kreis 11,4.9347
28,115,7.974,4.557,3.418,20.126,9.493,3.038,4.557,1.899,8.354,0.759,Oerlikon,11,Kreis 11,2.6334
29,119,5.65,1.412,1.648,9.652,5.179,2.825,1.412,1.412,4.237,0.235,Seebach,11,Kreis 11,4.2478
30,121,5.574,0.929,2.787,9.29,13.006,1.858,0.929,3.716,5.574,0.929,Saatlen,12,Kreis 12,1.0764
31,122,4.371,2.185,0.728,26.224,8.013,2.914,2.185,2.914,6.556,0.0,Schwamendingen-Mitte,12,Kreis 12,1.3728
32,123,5.11,0.568,1.703,10.787,11.923,1.703,0.568,2.839,3.407,1.136,Hirzenbach,12,Kreis 12,1.7613
