,qnr,kindergarten_nr,kunstimstadtraum_nr,parke_nr,brunnen_nr,kinderhort_nr,spielplatzte_nr,denkmalschutzobjekt_nr,volksschule_nr,kinderkrippe_nr,sporthalle_nr,qname,knr,kname
0,11,1,15,2,36,0,2,15,0,0,0,Rathaus,1,Kreis 1
1,12,1,14,5,46,2,1,14,1,3,0,Hochschulen,1,Kreis 1
2,13,0,14,3,32,0,2,14,0,0,0,Lindenhof,1,Kreis 1
3,14,2,22,4,36,1,1,22,1,8,0,City,1,Kreis 1
4,21,16,20,6,68,24,7,20,7,14,0,Wollishofen,2,Kreis 2
5,23,11,3,1,27,12,1,3,3,2,2,Leimbach,2,Kreis 2
6,24,6,54,9,54,10,8,54,2,8,0,Enge,2,Kreis 2
7,31,11,1,1,24,14,1,1,2,22,1,Alt-Wiedikon,3,Kreis 3
8,33,14,5,0,51,26,8,5,6,6,1,Friesenberg,3,Kreis 3
9,34,16,27,6,51,21,12,27,5,11,1,Sihlfeld,3,Kreis 3
10,41,0,5,0,9,0,0,5,0,3,0,Werd,4,Kreis 4
11,42,6,11,4,29,6,5,11,2,10,0,Langstrasse,4,Kreis 4
12,44,9,3,2,25,17,4,3,3,8,1,Hard,4,Kreis 4
13,51,7,13,2,22,8,3,13,4,5,0,Gewerbeschule,5,Kreis 5
14,52,4,2,2,11,5,1,2,1,10,0,Escher Wyss,5,Kreis 5
15,61,20,34,6,69,21,8,34,5,14,0,Unterstrass,6,Kreis 6
16,63,6,6,2,35,11,7,6,2,12,0,Oberstrass,6,Kreis 6
17,71,6,10,2,49,9,5,10,2,9,0,Fluntern,7,Kreis 7
18,72,7,17,5,51,5,6,17,3,10,0,Hottingen,7,Kreis 7
19,73,5,3,0,27,2,2,3,2,7,0,Hirslanden,7,Kreis 7
20,74,9,9,1,31,6,1,9,2,7,0,Witikon,7,Kreis 7
21,81,0,22,6,17,0,2,22,0,5,0,Seefeld,8,Kreis 8
22,82,6,8,4,20,11,1,8,4,10,1,MÃ¼hlebach,8,Kreis 8
23,83,4,4,3,26,5,4,4,3,10,0,Weinegg,8,Kreis 8
24,91,21,9,3,38,27,5,9,5,19,1,Albisrieden,9,Kreis 9
25,92,31,15,1,78,37,9,15,10,20,0,Altstetten,9,Kreis 9
26,101,21,6,5,64,23,10,6,7,14,0,HÃ¶ngg,10,Kreis 10
27,102,13,7,2,42,21,6,7,3,15,0,Wipkingen,10,Kreis 10
28,111,30,4,7,48,32,10,4,7,11,2,Affoltern,11,Kreis 11
29,115,21,12,9,53,25,8,12,5,22,2,Oerlikon,11,Kreis 11
30,119,24,6,7,41,22,12,6,6,18,1,Seebach,11,Kreis 11
31,121,6,1,3,10,14,2,1,4,6,1,Saatlen,12,Kreis 12
32,122,6,3,1,36,11,4,3,4,9,0,Schwamendingen-Mitte,12,Kreis 12
33,123,9,1,3,19,21,3,1,5,6,2,Hirzenbach,12,Kreis 12
